virus_strain,serum_strain,titer
DENV1/BOLIVIA/FSB3363/2010,DENV1/BOLIVIA/FSB3363/2010,4.08746284125
DENV1/BOLIVIA/FSB3363/2010,DENV1/CAMBODIA/BIDV1991/2003,3.45943161864
DENV1/BOLIVIA/FSB3363/2010,DENV1/MYANMAR/61117/2005,6.76818432478
DENV1/BOLIVIA/FSB3363/2010,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,3.84799690655
DENV1/BOLIVIA/FSB3363/2010,DENV1/PERU/IQT6152/2000,8.59245703727
DENV1/BOLIVIA/FSB3363/2010,DENV1/PUERTO_RICO/BIDV852/2006,5.55458885168
DENV1/BOLIVIA/FSB3363/2010,DENV1/VIETNAM/BIDV1937/2008,6.47573343097
DENV1/BOLIVIA/FSB3363/2010,DENV2/TONGA/DELTA30/1974,5.4262647547
DENV1/BOLIVIA/FSB3363/2010,DENV2/VIETNAM/BIDV735/2006,3.80735492206
DENV1/BOLIVIA/FSB3363/2010,DENV3/VIETNAM/BIDV1329/2006,3.45943161864
DENV1/CAMBODIA/BIDV1991/2003,DENV1/BOLIVIA/FSB3363/2010,4.08746284125
DENV1/CAMBODIA/BIDV1991/2003,DENV1/CAMBODIA/BIDV1991/2003,4.95419631039
DENV1/CAMBODIA/BIDV1991/2003,DENV1/MYANMAR/61117/2005,6.89481776331
DENV1/CAMBODIA/BIDV1991/2003,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,4.89481776331
DENV1/CAMBODIA/BIDV1991/2003,DENV1/PERU/IQT6152/2000,8.85174904142
DENV1/CAMBODIA/BIDV1991/2003,DENV1/PUERTO_RICO/BIDV852/2006,5.67242534197
DENV1/CAMBODIA/BIDV1991/2003,DENV1/VIETNAM/BIDV1937/2008,6.72792045456
DENV1/CAMBODIA/BIDV1991/2003,DENV2/TONGA/DELTA30/1974,5.1497471195
DENV1/CAMBODIA/BIDV1991/2003,DENV3/INDONESIA/SLEMANDELTA30/1978,3.80735492206
DENV1/CAMBODIA/BIDV1991/2003,DENV4/DOMINICA/814669DELTA30/1981,3.93545974781
DENV1/CAMBODIA/BIDV1995/2003,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,3.45943161864
DENV1/CAMBODIA/BIDV1995/2003,DENV1/PUERTO_RICO/BIDV852/2006,7.45943161864
DENV1/CAMBODIA/BIDV1995/2003,DENV1/VIETNAM/BIDV1937/2008,7.37503943135
DENV1/CAMBODIA/BIDV1995/2003,DENV2/VIETNAM/AC21/2003,3.32192809489
DENV1/CAMBODIA/BIDV1995/2003,DENV2/VIETNAM/BIDV735/2006,3.45943161864
DENV1/MYANMAR/61117/2005,DENV1/BOLIVIA/FSB3363/2010,6.0
DENV1/MYANMAR/61117/2005,DENV1/CAMBODIA/BIDV1991/2003,5.88264304936
DENV1/MYANMAR/61117/2005,DENV1/MYANMAR/61117/2005,8.55074678538
DENV1/MYANMAR/61117/2005,DENV1/PERU/IQT6152/2000,10.2215871213
DENV1/MYANMAR/61117/2005,DENV1/PUERTO_RICO/BIDV852/2006,8.13442632022
DENV1/MYANMAR/61117/2005,DENV1/VIETNAM/BIDV1937/2008,8.60362634499
DENV1/MYANMAR/61117/2005,DENV2/VIETNAM/AC20/2003,3.32192809489
DENV1/MYANMAR/61117/2005,DENV3/CAMBODIA/AC23/2011,3.32192809489
DENV1/MYANMAR/61117/2005,DENV3/VIETNAM/BIDV1817/2007,3.32192809489
DENV1/NAURU/WESTERNPACIFICDELTA30/1974,DENV1/BOLIVIA/FSB3363/2010,3.70043971814
DENV1/NAURU/WESTERNPACIFICDELTA30/1974,DENV1/CAMBODIA/BIDV1991/2003,4.16992500144
DENV1/NAURU/WESTERNPACIFICDELTA30/1974,DENV1/MYANMAR/61117/2005,5.64385618977
DENV1/NAURU/WESTERNPACIFICDELTA30/1974,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,3.90689059561
DENV1/NAURU/WESTERNPACIFICDELTA30/1974,DENV1/PERU/IQT6152/2000,7.11894107272
DENV1/NAURU/WESTERNPACIFICDELTA30/1974,DENV1/PUERTO_RICO/BIDV852/2006,5.35755200462
DENV1/NAURU/WESTERNPACIFICDELTA30/1974,DENV1/VIETNAM/BIDV1937/2008,5.64385618977
DENV1/NAURU/WESTERNPACIFICDELTA30/1974,DENV2/TONGA/DELTA30/1974,3.95419631039
DENV1/NAURU/WESTERNPACIFICDELTA30/1974,DENV3/INDONESIA/SLEMANDELTA30/1978,3.75488750216
DENV1/PERU/IQT6152/2000,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,4.58496250072
DENV1/PERU/IQT6152/2000,DENV1/PUERTO_RICO/BIDV852/2006,8.61102479731
DENV1/PERU/IQT6152/2000,DENV1/VIETNAM/BIDV1937/2008,8.47167521439
DENV1/PERU/IQT6152/2000,DENV2/MALAYSIA/DKD811/2008,4.24792751344
DENV1/PERU/IQT6152/2000,DENV2/NICARAGUA/BIDV533/2005,4.32192809489
DENV1/PERU/IQT6152/2000,DENV2/NICARAGUA/BIDV571/2006,5.12928301694
DENV1/PERU/IQT6152/2000,DENV2/PERU/IQT2913/1996,3.58496250072
DENV1/PERU/IQT6152/2000,DENV2/TONGA/DELTA30/1974,5.08746284125
DENV1/PERU/IQT6152/2000,DENV2/VIETNAM/AC20/2003,5.4262647547
DENV1/PERU/IQT6152/2000,DENV2/VIETNAM/BIDV735/2006,6.33985000288
DENV1/PERU/IQT6152/2000,DENV3/FIJI/29472/1992,5.4262647547
DENV1/PERU/IQT6152/2000,DENV3/VIETNAM/BIDV1329/2006,4.08746284125
DENV1/PERU/IQT6152/2000,DENV3/VIETNAM/BIDV1817/2007,5.83289001416
DENV1/PERU/IQT6152/2000,DENV4/BRAZIL/NA/2012,3.58496250072
DENV1/PERU/IQT6152/2000,DENV4/INDONESIA/AC36/1973,3.80735492206
DENV1/PERU/IQT6152/2000,DENV4/PUERTO_RICO/BIDV2446/1999,3.90689059561
DENV1/PUERTO_RICO/BIDV852/2006,DENV1/MYANMAR/61117/2005,6.61470984412
DENV1/PUERTO_RICO/BIDV852/2006,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,4.59494658929
DENV1/PUERTO_RICO/BIDV852/2006,DENV1/PUERTO_RICO/BIDV852/2006,6.90689059561
DENV1/PUERTO_RICO/BIDV852/2006,DENV1/VIETNAM/BIDV1937/2008,6.87036471958
DENV1/PUERTO_RICO/BIDV852/2006,DENV2/TONGA/DELTA30/1974,4.96347412397
DENV1/PUERTO_RICO/BIDV852/2006,DENV3/CAMBODIA/AC23/2011,3.58496250072
DENV1/PUERTO_RICO/BIDV852/2006,DENV3/INDONESIA/SLEMANDELTA30/1978,3.78427130894
DENV1/PUERTO_RICO/BIDV852/2006,DENV4/DOMINICA/814669DELTA30/1981,3.72792045456
DENV1/THAILAND/16007/1964,DENV1/BOLIVIA/FSB3363/2010,6.2288186905
DENV1/THAILAND/16007/1964,DENV1/CAMBODIA/BIDV1991/2003,6.80735492206
DENV1/THAILAND/16007/1964,DENV1/MYANMAR/61117/2005,8.57364718749
DENV1/THAILAND/16007/1964,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,7.69580826941
DENV1/THAILAND/16007/1964,DENV1/PERU/IQT6152/2000,11.0518886559
DENV1/THAILAND/16007/1964,DENV1/PUERTO_RICO/BIDV852/2006,8.76155123244
DENV1/THAILAND/16007/1964,DENV1/VENEZUELA/OBT1298/2000,5.39231742278
DENV1/THAILAND/16007/1964,DENV1/VIETNAM/BIDV1937/2008,8.6934869575
DENV1/THAILAND/16007/1964,DENV2/MALAYSIA/DKD811/2008,3.45943161864
DENV1/THAILAND/16007/1964,DENV2/NICARAGUA/BIDV533/2005,3.45943161864
DENV1/THAILAND/16007/1964,DENV2/NICARAGUA/BIDV571/2006,3.90689059561
DENV1/THAILAND/16007/1964,DENV2/PERU/IQT2913/1996,3.70043971814
DENV1/THAILAND/16007/1964,DENV2/TONGA/DELTA30/1974,6.28540221886
DENV1/THAILAND/16007/1964,DENV2/VIETNAM/AC20/2003,4.08746284125
DENV1/THAILAND/16007/1964,DENV2/VIETNAM/AC21/2003,3.45943161864
DENV1/THAILAND/16007/1964,DENV2/VIETNAM/BIDV735/2006,4.75488750216
DENV1/THAILAND/16007/1964,DENV3/CAMBODIA/AC23/2011,3.80735492206
DENV1/THAILAND/16007/1964,DENV3/FIJI/29472/1992,4.45943161864
DENV1/THAILAND/16007/1964,DENV3/INDONESIA/SLEMANDELTA30/1978,4.33985000288
DENV1/THAILAND/16007/1964,DENV3/NICARAGUA/BIDV4753/2009,3.45943161864
DENV1/THAILAND/16007/1964,DENV3/VIETNAM/BIDV1329/2006,4.95419631039
DENV1/THAILAND/16007/1964,DENV3/VIETNAM/BIDV1817/2007,5.35755200462
DENV1/THAILAND/16007/1964,DENV4/CAMBODIA/NA/2010,3.32192809489
DENV1/THAILAND/16007/1964,DENV4/DOMINICA/814669DELTA30/1981,3.88535743406
DENV1/VENEZUELA/OBT1298/2000,DENV1/BOLIVIA/FSB3363/2010,4.0
DENV1/VENEZUELA/OBT1298/2000,DENV1/CAMBODIA/BIDV1991/2003,3.58496250072
DENV1/VENEZUELA/OBT1298/2000,DENV1/MYANMAR/61117/2005,5.61470984412
DENV1/VENEZUELA/OBT1298/2000,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,4.53915881111
DENV1/VENEZUELA/OBT1298/2000,DENV1/PERU/IQT6152/2000,8.38370429247
DENV1/VENEZUELA/OBT1298/2000,DENV1/PUERTO_RICO/BIDV852/2006,5.45943161864
DENV1/VENEZUELA/OBT1298/2000,DENV1/VIETNAM/BIDV1937/2008,6.28540221886
DENV1/VENEZUELA/OBT1298/2000,DENV2/TONGA/DELTA30/1974,5.07324898203
DENV1/VENEZUELA/OBT1298/2000,DENV3/INDONESIA/SLEMANDELTA30/1978,3.45943161864
DENV1/VENEZUELA/OBT1298/2000,DENV4/DOMINICA/814669DELTA30/1981,3.67242534197
DENV1/VIETNAM/BIDV1937/2008,DENV1/BOLIVIA/FSB3363/2010,4.32192809489
DENV1/VIETNAM/BIDV1937/2008,DENV1/CAMBODIA/BIDV1991/2003,4.95419631039
DENV1/VIETNAM/BIDV1937/2008,DENV1/MYANMAR/61117/2005,6.88264304936
DENV1/VIETNAM/BIDV1937/2008,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,4.23266075679
DENV1/VIETNAM/BIDV1937/2008,DENV1/PERU/IQT6152/2000,8.42206476617
DENV1/VIETNAM/BIDV1937/2008,DENV1/PUERTO_RICO/BIDV852/2006,7.67948009951
DENV1/VIETNAM/BIDV1937/2008,DENV1/VIETNAM/BIDV1937/2008,8.45121111183
DENV1/VIETNAM/BIDV1937/2008,DENV2/MALAYSIA/DKD811/2008,3.32192809489
DENV1/VIETNAM/BIDV1937/2008,DENV2/NICARAGUA/BIDV571/2006,3.45943161864
DENV1/VIETNAM/BIDV1937/2008,DENV2/PERU/IQT2913/1996,3.32192809489
DENV1/VIETNAM/BIDV1937/2008,DENV2/TONGA/DELTA30/1974,4.49185309633
DENV1/VIETNAM/BIDV1937/2008,DENV2/VIETNAM/BIDV735/2006,3.45943161864
DENV1/VIETNAM/BIDV1937/2008,DENV3/FIJI/29472/1992,3.45943161864
DENV1/VIETNAM/BIDV1937/2008,DENV3/INDONESIA/SLEMANDELTA30/1978,3.45943161864
DENV1/VIETNAM/BIDV1937/2008,DENV3/VIETNAM/BIDV1817/2007,3.90689059561
DENV1/VIETNAM/BIDV1937/2008,DENV4/DOMINICA/814669DELTA30/1981,3.66296501272
DENV2/BRAZIL/BR161/2004,DENV2/MALAYSIA/DKD811/2008,4.32192809489
DENV2/BRAZIL/BR161/2004,DENV2/NICARAGUA/BIDV571/2006,5.72792045456
DENV2/BRAZIL/BR161/2004,DENV2/PERU/IQT2913/1996,3.80735492206
DENV2/BRAZIL/BR161/2004,DENV2/TONGA/DELTA30/1974,3.70043971814
DENV2/BRAZIL/BR161/2004,DENV2/VIETNAM/AC20/2003,4.64385618977
DENV2/BRAZIL/BR161/2004,DENV2/VIETNAM/AC21/2003,3.45943161864
DENV2/BRAZIL/BR161/2004,DENV2/VIETNAM/BIDV735/2006,9.2714630279
DENV2/CAMBODIA/BIDV3924/2008,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,3.95419631039
DENV2/CAMBODIA/BIDV3924/2008,DENV2/NICARAGUA/BIDV571/2006,3.90689059561
DENV2/CAMBODIA/BIDV3924/2008,DENV2/TONGA/DELTA30/1974,5.36632221425
DENV2/CAMBODIA/BIDV3924/2008,DENV2/VIETNAM/AC20/2003,3.58496250072
DENV2/CAMBODIA/BIDV3924/2008,DENV2/VIETNAM/BIDV735/2006,7.67948009951
DENV2/CAMBODIA/BIDV3924/2008,DENV3/INDONESIA/SLEMANDELTA30/1978,4.45943161864
DENV2/CAMBODIA/BIDV3924/2008,DENV4/DOMINICA/814669DELTA30/1981,3.52356195606
DENV2/CAMBODIA/BIDV4265/2007,DENV2/NICARAGUA/BIDV571/2006,4.58496250072
DENV2/CAMBODIA/BIDV4265/2007,DENV2/TONGA/DELTA30/1974,3.79007693063
DENV2/CAMBODIA/BIDV4265/2007,DENV2/VIETNAM/AC20/2003,3.32192809489
DENV2/CAMBODIA/BIDV4265/2007,DENV2/VIETNAM/BIDV735/2006,8.23361967676
DENV2/CAMBODIA/D2T0601085/2009,DENV1/PERU/IQT6152/2000,4.08746284125
DENV2/CAMBODIA/D2T0601085/2009,DENV2/NICARAGUA/BIDV533/2005,3.45943161864
DENV2/CAMBODIA/D2T0601085/2009,DENV2/NICARAGUA/BIDV571/2006,4.95419631039
DENV2/CAMBODIA/D2T0601085/2009,DENV2/VIETNAM/AC20/2003,4.0
DENV2/CAMBODIA/D2T0601085/2009,DENV2/VIETNAM/BIDV735/2006,7.62205181946
DENV2/GUYANA/08221/2000,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,4.24792751344
DENV2/GUYANA/08221/2000,DENV1/PERU/IQT6152/2000,3.32192809489
DENV2/GUYANA/08221/2000,DENV2/CAMBODIA/D2T0601085/2009,4.80735492206
DENV2/GUYANA/08221/2000,DENV2/NICARAGUA/BIDV571/2006,6.20945336563
DENV2/GUYANA/08221/2000,DENV2/TONGA/DELTA30/1974,4.84130225398
DENV2/GUYANA/08221/2000,DENV2/VIETNAM/AC20/2003,4.85798099513
DENV2/GUYANA/08221/2000,DENV2/VIETNAM/BIDV735/2006,7.12412131183
DENV2/GUYANA/08221/2000,DENV3/CAMBODIA/AC23/2011,3.70043971814
DENV2/GUYANA/08221/2000,DENV3/INDONESIA/SLEMANDELTA30/1978,3.93073733756
DENV2/GUYANA/08221/2000,DENV4/BRAZIL/NA/2012,3.45943161864
DENV2/GUYANA/08221/2000,DENV4/CAMBODIA/NA/2010,3.45943161864
DENV2/GUYANA/08221/2000,DENV4/DOMINICA/814669DELTA30/1981,3.85085656069
DENV2/INDIA/742295/1974,DENV1/CAMBODIA/BIDV1991/2003,3.58496250072
DENV2/INDIA/742295/1974,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,3.80735492206
DENV2/INDIA/742295/1974,DENV1/PERU/IQT6152/2000,3.70043971814
DENV2/INDIA/742295/1974,DENV2/CAMBODIA/D2T0601085/2009,4.32192809489
DENV2/INDIA/742295/1974,DENV2/NICARAGUA/BIDV533/2005,3.32192809489
DENV2/INDIA/742295/1974,DENV2/NICARAGUA/BIDV571/2006,6.02236781303
DENV2/INDIA/742295/1974,DENV2/PERU/IQT2913/1996,4.08746284125
DENV2/INDIA/742295/1974,DENV2/TONGA/DELTA30/1974,4.87446911792
DENV2/INDIA/742295/1974,DENV2/VIETNAM/AC20/2003,4.16992500144
DENV2/INDIA/742295/1974,DENV2/VIETNAM/AC21/2003,3.32192809489
DENV2/INDIA/742295/1974,DENV2/VIETNAM/BIDV735/2006,8.04712391211
DENV2/INDIA/742295/1974,DENV3/INDONESIA/SLEMANDELTA30/1978,3.51096191928
DENV2/INDIA/742295/1974,DENV4/DOMINICA/814669DELTA30/1981,3.49185309633
DENV2/MALAYSIA/DKD811/2008,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,4.10852445678
DENV2/MALAYSIA/DKD811/2008,DENV2/CAMBODIA/D2T0601085/2009,3.45943161864
DENV2/MALAYSIA/DKD811/2008,DENV2/MALAYSIA/DKD811/2008,4.95419631039
DENV2/MALAYSIA/DKD811/2008,DENV2/NICARAGUA/BIDV571/2006,5.20945336563
DENV2/MALAYSIA/DKD811/2008,DENV2/PERU/IQT2913/1996,4.0
DENV2/MALAYSIA/DKD811/2008,DENV2/TONGA/DELTA30/1974,5.49767042292
DENV2/MALAYSIA/DKD811/2008,DENV2/VIETNAM/AC20/2003,4.52356195606
DENV2/MALAYSIA/DKD811/2008,DENV2/VIETNAM/BIDV735/2006,8.0
DENV2/MALAYSIA/DKD811/2008,DENV3/INDONESIA/SLEMANDELTA30/1978,3.60880924268
DENV2/MALAYSIA/DKD811/2008,DENV3/VIETNAM/BIDV1817/2007,3.45943161864
DENV2/MALAYSIA/DKD811/2008,DENV4/DOMINICA/814669DELTA30/1981,3.49185309633
DENV2/NICARAGUA/BIDV533/2005,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,3.36923380967
DENV2/NICARAGUA/BIDV533/2005,DENV1/PERU/IQT6152/2000,3.32192809489
DENV2/NICARAGUA/BIDV533/2005,DENV1/PUERTO_RICO/BIDV852/2006,3.90689059561
DENV2/NICARAGUA/BIDV533/2005,DENV2/MALAYSIA/DKD811/2008,4.45943161864
